stock_code,stock_name,股票代码,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期
sz000402,金 融 街,000402,-0.87,11686724512.75,42.5141479498,-42.0426,-2614965433.59,-95.37,62.9741,-7.55,0.858041889602,5.7204049028,房地产开发,2024-10-31
sz000403,派林生物,000403,0.7425,1890265336.27,37.4925104049,7.6441,542732944.36,66.38,5.2248,7.09,0.310396670065,50.5156982334,生物制品,2024-10-28
sz000404,长虹华意,000404,0.5401,9686981934.75,-9.6885121454,-12.7635,375936414.2,36.68,1.4983,9.62,1.232452482746,12.8026649456,家电行业,2024-10-23
sz000407,胜利股份,000407,0.1247,3204633579.56,-1.6879919012,1.8836,109727926.91,7.62,-55.4594,3.76,-0.074089299746,15.7427204747,燃气,2024-10-26
sz000408,藏格矿业,000408,1.1894,2323639964.17,-44.5325006405,-51.0179,1867944077.75,-37.08,-25.631,13.98,0.387500079973,45.178604359,化肥行业,2024-10-26
sz000409,云鼎科技,000409,0.1216,829897224.78,18.0735426193,-22.8174,80795615.51,115.79,-68.1878,5.56,-0.019675754408,32.9145569637,互联网服务,2024-10-29
sz000410,沈阳机床,000410,-0.06,1000094389.95,-8.1994099797,-30.0732,-123256404.07,-71.76,-5.6221,-12.54,-0.11989702486,8.0506641262,通用设备,2024-10-29
sz000411,英特集团,000411,0.6868,24777058456.77,3.5915892963,1.9148,354994660.79,-2.9,-35.1583,8.14,-2.56180181903,6.671044113,医药商业,2024-10-30
sz000415,渤海租赁,000415,0.2571,25086731000.0,8.1322514676,17.0216,1590167000.0,87.33,166.6411,5.29,3.021598924153,46.3892246463,多元金融,2024-10-31
sz000417,合百集团,000417,0.2676,5327696829.55,3.8780743888,-4.1409,208715716.26,-20.36,-77.4973,4.44,0.046804994883,27.0260847795,商业百货,2024-10-30
sz000419,通程控股,000419,0.2689,1395117759.41,-10.3487284083,21.0384,146181673.66,23.76,-57.254,4.45,0.385817153401,25.3878813725,商业百货,2024-10-26
sz000420,吉林化纤,000420,0.0252,2798538215.4,1.5287762374,19.1169,62082884.69,13.95,14.1011,1.41,0.026501017371,16.053556313,化纤行业,2024-10-31
sz000421,南京公用,000421,-0.025,3637986041.51,9.1341773789,20.4335,-14415775.85,-163.4,114.3246,-0.54,-0.453473819826,13.4249558211,燃气,2024-10-26
sz000422,湖北宜化,000422,0.7132,13520420467.82,-1.3393513119,-8.3134,758409690.57,94.92,-45.7617,10.27,0.734965206826,14.2403172049,化肥行业,2024-10-29
sz000423,东阿阿胶,000423,1.7926,4329229198.62,26.2798266417,22.146,1151986622.87,47.0,7.4158,10.62,2.238160690065,74.1257907173,中药,2024-10-31
sz000425,徐工机械,000425,0.45,68725894620.69,-4.1080445638,-24.9991,5309032696.12,9.71,-23.8409,9.13,0.172953376604,23.6259623799,工程机械,2024-10-31
sz000426,兴业银锡,000426,0.7075,3296441885.93,35.9549585008,-23.4182,1299841971.09,139.4,-36.3319,18.35,0.682547487145,64.3069116042,有色金属,2024-10-31
sz000428,华天酒店,000428,-0.1095,455069614.52,-10.6118587021,-10.7139,-111581145.65,-16.59,-2.8391,-6.72,0.058067804738,22.8078059902,旅游酒店,2024-10-31
sz000429,粤高速Ａ,000429,0.65,3502315797.54,-5.0303992368,14.9178,1356400701.34,0.01,15.2212,13.45,1.210796638904,68.2391052351,铁路公路,2024-10-25
sz000430,张家界,000430,-0.16,310205673.94,-5.0784448792,18.0832,-64725053.27,-53.36,75.7365,-7.72,0.169817194499,18.0068770537,旅游酒店,2024-10-29
sz000488,ST晨鸣,000488,-0.242,19824745808.47,0.5217033083,-16.6074,-710098519.92,7.57,-2399.9825,-4.36,0.806403126109,8.8161426927,造纸印刷,2024-10-31
sz000498,山东路桥,000498,0.7292,42678850073.82,-6.3306460071,-25.0825,1456351779.34,3.52,-43.5584,7.71,-3.862655191029,12.2966983013,工程建设,2024-10-30
sz000501,武商集团,000501,0.16,5118774044.93,-5.8638534117,-12.4787,124128734.67,4.74,-296.0567,1.12,1.232363242339,47.3100069123,商业百货,2024-10-29
sz000503,国新健康,000503,-0.0316,200175797.05,24.4005837515,-29.8347,-30946674.76,71.49,228.9423,-2.2,-0.145227149744,3.4181413592,软件开发,2024-10-26
sz000504,南华生物,000504,-0.0255,92417062.87,-11.7819850831,18.9165,-8410757.01,-1828.05,99.6811,-3.33,0.020961032552,68.0334553355,医疗服务,2024-10-31
sz000505,京粮控股,000505,0.04,9493366801.12,18.0696441459,105.1073,27854428.81,-64.6,195.548,0.88,-0.294721620242,4.1550819047,农牧饲渔,2024-10-31
sz000506,*ST中润,000506,-0.1,154881863.1,-29.1185488219,14.5618,-90084379.45,-277.8,-40.4107,-14.33,-0.006794152905,7.4554917334,贵金属,2024-11-27
sz000507,珠海港,000507,0.2154,4033586724.11,-0.5655943302,4.4507,238789218.98,4.81,-65.6261,3.75,0.864652944771,25.471615125,航运港口,2024-10-31
sz000509,华塑控股,000509,-0.0115,715494681.78,50.1533454138,9.8299,-12331710.58,-141.47,-1380.0354,-8.69,-0.011594329453,3.4405612825,光学光电子,2024-10-30
sz000510,新金路,000510,-0.0558,1515254281.25,-23.0169566466,-3.1661,-34220099.86,60.88,387.3772,-2.7,-0.190437596123,10.2194799458,化学原料,2024-10-31
sz000513,丽珠集团,000513,1.81,9081603788.36,-5.9368316442,-7.9055,1672733989.63,4.44,-10.9002,11.63,2.490711538971,65.8100596653,化学制药,2024-10-24
