stock_code,stock_name,股票代码,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期,市盈率-动态,市净率,总市值,流通市值,流通股本(万股)
bj832419,路斯股份,832419.0,0.16,184216552.06,17.5774641905,-9.1685,16511975.73,17.34,-13.4521,2.95,0.287740619265,21.6503685874,农牧饲渔,2025-04-25,30.68,3.27,1868812776.0,1748328835.0,96646149.0
bj832469,富恒新材,832469.0,0.04,168426146.23,-3.0960158565,-31.1209,5932974.7,-69.04,153.4852,1.23,-0.474027769642,13.5685897241,塑料制品,2025-04-29,146.96,4.28,1995795360.0,1464825974.0,103448162.0
bj832471,美邦科技,832471.0,-0.01,115716247.4,-4.0946946943,-20.3949,-746900.07,-130.31,96.4761,-0.14,0.047130310457,14.8654266505,化学原料,2025-04-29,-103.14,2.35,1231360000.0,784852984.0,53030607.0
bj832491,奥迪威,832491.0,0.16,156946925.86,26.2526618868,-7.9779,23009735.8,12.9,14.0677,2.26,-0.028418478975,35.2450935989,仪器仪表,2025-04-29,47.92,4.72,4836976779.0,3960757683.0,115575071.0
bj832522,纳科诺尔,832522.0,0.28,232533711.85,-20.3477311157,16.4451,30999543.54,-36.5,177.1855,2.92,0.647570656974,24.2065552827,专用设备,2025-04-28,97.29,9.44,10047721152.0,8335401186.0,130037460.0
bj832566,梓橦宫,832566.0,0.11,94827223.47,1.2512598471,-19.2844,16642177.74,-16.31,-41.4695,2.11,0.247710573903,74.2450781471,化学制药,2025-04-28,24.97,2.17,1768834701.0,1366134182.0,112346561.0
bj832651,天罡股份,832651.0,0.19,56704078.45,49.4772293936,-51.022,11345675.27,36.81,-67.4432,2.24,-0.187288846721,49.4303215504,仪器仪表,2025-04-28,37.46,4.66,2287500000.0,572807663.0,15274871.0
bj832662,方盛股份,832662.0,0.08,74458066.25,21.0163565148,-26.4181,7014667.1,-16.03,34.5982,1.53,0.123351910603,22.2430786671,通用设备,2025-04-28,95.09,6.07,2753447563.0,773062606.0,24580687.0
bj832735,德源药业,832735.0,0.59,255089983.62,21.5933886967,18.3575,46442966.9,30.99,-24.7284,4.11,0.198905051946,85.9919342528,化学制药,2025-04-28,22.19,3.72,4340691630.0,3839017547.0,103757231.0
bj832786,骑士乳业,832786.0,0.05,369589946.91,55.8785254747,-34.0146,10652296.65,-38.7,159.3481,1.38,-0.531374038976,10.6546757641,食品饮料,2025-04-25,62.83,2.82,2057081520.0,1399213117.0,142196455.0
bj832802,保丽洁,832802.0,0.0638,38799854.21,-12.6457406238,-34.2058,4024875.53,7.36,-53.4362,0.94,0.131278286488,38.8795884086,环保行业,2025-04-29,85.89,3.43,1466308225.0,395122843.0,22098593.0
bj832876,慧为智能,832876.0,0.03,135614602.1,22.9748064587,27.2371,2156020.64,-22.34,160.1907,0.86,-0.274490975856,14.8113721303,消费电子,2025-04-25,526.15,7.78,1957510100.0,1178663777.0,38644714.0
bj832885,星辰科技,832885.0,0.037,32825960.09,31.7058679914,-29.9661,6439904.33,18.44,62.625,1.68,0.074547536559,33.4638917792,通用设备,2025-04-29,78.94,8.75,3436896388.0,1754407563.0,87197195.0
bj832978,开特股份,832978.0,0.22,239608388.09,48.0461528999,-12.1861,40130135.15,41.6,-6.4561,5.77,0.048598458649,32.8744743237,汽车零部件,2025-04-29,40.91,9.85,6974744958.0,3912900382.0,100847948.0
bj832982,锦波生物,832982.0,1.9,366465963.91,62.5121273866,-19.3588,168530398.04,66.25,-20.6367,10.41,1.96836411857,90.1123085011,生物制品,2025-04-22,41.32,19.68,32401249091.0,17238481653.0,61218373.0
bj833030,立方控股,833030.0,-0.09,66084445.4,19.5620867082,-26.2638,-8331321.34,4.81,82.0008,-1.6,-0.06919308967,42.4488947289,互联网服务,2025-04-28,-103.64,4.9,2513628181.0,1544073726.0,56663256.0
bj833075,柏星龙,833075.0,0.045,97639426.34,-29.9760002361,-31.4429,2901903.86,-78.07,18.9176,0.71,0.060451147111,33.1984367945,造纸印刷,2025-04-28,45.55,4.8,1909449900.0,1027531333.0,34878864.0
bj833171,国航远洋,833171.0,-0.0281,199046295.89,-10.7284881734,-22.3519,-15429140.0,-196.7,73.9338,-1.14,0.338428435205,8.1284461073,航运港口,2025-04-28,-114.44,4.15,5631831573.0,2855165055.0,281574464.0
bj833230,欧康医药,833230.0,0.02,58372908.24,-14.4605003893,-32.4714,1672606.52,-80.67,-42.6449,0.41,-0.046404987548,16.9810431052,生物制品,2025-04-28,242.09,3.69,1491645301.0,693628858.0,46709014.0
bj833266,生物谷,833266.0,-0.14,92118348.63,-40.3537162367,-4.139,-16768203.83,-259.25,77.992,-1.83,-0.194388576204,51.6220903188,中药,2025-04-29,-22.07,1.4,1251160071.0,814925792.0,80765688.0
