行业代码,行业名称,上级行业,成份个数,静态市盈率,TTM(滚动)市盈率,市净率,静态股息率
851524.SI,其他生物制品,生物制品,31,32.56,28.25,3.34,1.64
851542.SI,医药流通,医药商业,24,15.72,14.77,1.12,1.96
851543.SI,线下药店,医药商业,8,24.23,23.13,2.27,2.7
851532.SI,医疗设备,医疗器械,38,31.24,36.19,4.27,1.43
851533.SI,医疗耗材,医疗器械,52,38.17,37.75,3.1,1.23
851534.SI,体外诊断,医疗器械,39,23.01,26.98,2.09,2.21
851563.SI,医疗研发外包,医疗服务,29,41.38,29.35,3.5,1.21
851564.SI,医院,医疗服务,15,39.14,42.33,4.3,1.11
851611.SI,火力发电,电力,28,13.46,11.78,1.39,3.4
851612.SI,水力发电,电力,11,19.68,18.63,2.51,3.13
851614.SI,热力服务,电力,18,36.46,36.48,2.4,1.64
851616.SI,光伏发电,电力,13,26.9,33.22,1.29,1.85
851617.SI,风力发电,电力,14,23.76,26.47,1.77,1.92
851610.SI,电能综合服务,电力,15,22.89,23.64,1.47,1.38
851631.SI,燃气Ⅲ,燃气Ⅱ,29,18.4,18.94,2.17,3.41
851782.SI,原材料供应链服务,物流,13,13.42,13.25,0.8,4.51
851783.SI,中间产品及消费品供应链服务,物流,8,24.84,27.82,2.18,1.43
851784.SI,快递,物流,5,17.72,18.47,1.87,2.07
851785.SI,跨境物流,物流,11,17.7,17.58,1.87,2.38
851786.SI,仓储物流,物流,6,27.62,29.38,1.47,0.99
851787.SI,公路货运,物流,5,101.51,37.96,1.14,2.37
851731.SI,高速公路,铁路公路,20,13.75,13.42,1.18,3.88
851721.SI,公交,铁路公路,6,53.6,71.92,1.75,0.71
851771.SI,铁路运输,铁路公路,7,16.6,17.88,0.94,3.26
851741.SI,航空运输,航空机场,8,30.38,31.11,3.09,1.58
851761.SI,航运,航运港口,18,9.98,11.94,1.61,5.11
851711.SI,港口,航运港口,16,13.08,13.46,1.02,2.83
851811.SI,住宅开发,房地产开发,69,24.77,33.32,0.82,1.36
851812.SI,商业地产,房地产开发,10,25.08,27.46,0.97,2.38
851813.SI,产业地产,房地产开发,10,29.07,26.4,1.71,1.32
851831.SI,物业管理,房地产服务,7,24.65,21.11,1.85,1.77
852021.SI,贸易Ⅲ,贸易Ⅱ,13,31.95,27.1,2.06,1.58
852031.SI,百货,一般零售,22,58.23,69.22,1.63,0.92
852032.SI,超市,一般零售,7,42.03,41.66,2.96,1.25
852033.SI,多业态零售,一般零售,15,17.35,30.13,1.18,2.57
852034.SI,商业物业经营,一般零售,14,34.73,31.14,2.41,2.11
852041.SI,专业连锁Ⅲ,专业连锁Ⅱ,7,42.83,47.81,3.48,1.4
852062.SI,跨境电商,互联网电商,7,43.56,43.68,3.86,1.68
852063.SI,电商服务,互联网电商,8,100.6,84.63,4.83,0.92
