date,up_count,down_count
2025-07-08,4040,1076
2025-07-09,1802,3316
2025-07-10,2778,2339
2025-07-11,2762,2357
2025-07-12,0,0
2025-07-13,0,0
2025-07-14,3008,2108
2025-07-15,1269,3847
2025-07-16,3143,1971
2025-07-17,3383,1732
2025-07-18,2516,2598
2025-07-19,0,0
2025-07-20,0,0
2025-07-21,3778,1335
2025-07-22,2366,2744
2025-07-23,1216,3896
2025-07-24,4139,972
2025-07-25,2439,2674
2025-07-26,0,0
2025-07-27,0,0
2025-07-28,2656,2458
2025-07-29,2131,2987
2025-07-30,1626,3491
2025-07-31,1012,4102
2025-08-01,3132,1983
2025-08-02,0,0
2025-08-03,0,0
2025-08-04,3697,1415
2025-08-05,3742,1370
2025-08-06,3141,1972
2025-08-07,1990,3122
2025-08-08,2359,2753
2025-08-09,0,0
2025-08-10,0,0
2025-08-11,3977,1138
2025-08-12,2006,3111
2025-08-13,2628,2484
2025-08-14,705,4407
2025-08-15,4336,775
2025-08-16,0,0
2025-08-17,0,0
2025-08-18,3743,1367
2025-08-19,2785,2328
2025-08-20,3488,1622
2025-08-21,2093,3020
2025-08-22,2703,2410
2025-08-23,0,0
2025-08-24,0,0
2025-08-25,3203,1910
2025-08-26,2710,2405
2025-08-27,593,4523
2025-08-28,2694,2422
2025-08-29,1838,3277
2025-08-30,0,0
2025-08-31,0,0
2025-09-01,3042,2072
2025-09-02,1055,4060
2025-09-03,767,4349
2025-09-04,2092,3023
2025-09-05,4575,540
2025-09-06,0,0
2025-09-07,0,0
2025-09-08,3804,1312
2025-09-09,1246,3869
2025-09-10,2361,2755
2025-09-11,4005,1109
2025-09-12,1856,3260
2025-09-13,0,0
2025-09-14,0,0
2025-09-15,1773,3342
2025-09-16,3487,1629
2025-09-17,2337,2778
2025-09-18,939,4176
2025-09-19,1827,3289
2025-09-20,0,0
2025-09-21,0,0
2025-09-22,2094,3019
2025-09-23,1078,4038
2025-09-24,4198,916
2025-09-25,1423,3691
2025-09-26,1719,3395
2025-09-27,0,0
2025-09-28,0,0
2025-09-29,3398,1711
2025-09-30,2538,2572
2025-10-01,0,0
2025-10-02,0,0
2025-10-03,0,0
2025-10-04,0,0
2025-10-05,0,0
2025-10-06,0,0
2025-10-07,0,0
2025-10-08,0,0
2025-10-09,2959,2147
2025-10-10,2772,2650
2025-10-11,0,0
2025-10-12,0,0
2025-10-13,867,4555
2025-10-14,1733,3690
2025-10-15,4332,1091
2025-10-16,1177,4250
2025-10-17,601,4830
2025-10-18,0,0
2025-10-19,0,0
2025-10-20,4062,1367
2025-10-21,4626,801
2025-10-22,2279,3148
2025-10-23,2993,2437
2025-10-24,1279,1721
2025-10-25,0,0
2025-10-26,0,0
2025-10-27,3361,2068
2025-10-28,2365,3066
2025-10-29,2671,2761
2025-10-30,942,2060
2025-10-31,3759,1683
2025-11-01,0,0
2025-11-02,0,0
2025-11-03,3534,1909
2025-11-04,1630,3813
2025-11-05,3380,2064
2025-11-06,2879,2566
2025-11-07,2101,3346
2025-11-08,0,0
2025-11-09,0,0
2025-11-10,3374,2073
2025-11-11,2785,2661
2025-11-12,1756,3690
2025-11-13,3952,1494
2025-11-14,1960,3486
2025-11-15,0,0
2025-11-16,0,0
2025-11-17,2584,2862
