datetime,stock_code,action,target_value,current_value,shares,price,resulting_ratio
2024-10-30 09:30:00,002290.SZ,BUY_ALLOC,66789.76,0.0,4400,15.09,0.198821
2024-10-30 09:30:00,002640.SZ,BUY_ALLOC,66765.52,0.0,21200,3.14,0.199408
2024-10-30 09:30:00,600581.SH,BUY_ALLOC,66758.86,0.0,18000,3.45,0.186043
2024-10-30 00:00:00,002717.SZ,REBAL_SELL,66752.65,73584.0,2000,3.36,0.2
2024-10-30 00:00:00,600743.SH,REBAL_SELL,66752.65,73260.0,3600,1.8,0.2
2024-10-30 00:00:00,002640.SZ,REBAL_BUY,66752.65,65508.0,400,3.09,0.2
2024-10-30 00:00:00,600581.SH,REBAL_BUY,66752.65,65880.0,200,3.66,0.2
2024-10-31 00:00:00,002717.SZ,REBAL_SELL,69641.3,73630.0,1000,3.7,0.2
2024-10-31 00:00:00,002290.SZ,REBAL_BUY,69641.3,66880.0,100,15.22,0.2
2024-10-31 00:00:00,002640.SZ,REBAL_BUY,69641.3,68040.0,500,3.15,0.2
2024-10-31 00:00:00,600581.SH,REBAL_BUY,69641.3,66248.0,900,3.64,0.2
2024-11-01 09:31:00,000590.SZ,BUY_ALLOC,71732.3,0.0,9600,7.4,0.19807
2024-11-01 09:31:00,000948.SZ,BUY_ALLOC,71763.6,0.0,200,21.4,0.011928
2024-11-01 09:32:00,002795.SZ,BUY_ALLOC,71762.6,0.0,200,4.71,0.002625
2024-11-01 00:00:00,002640.SZ,REBAL_BUY,69687.66,63869.0,2000,2.89,0.2
2024-11-01 00:00:00,000948.SZ,REBAL_BUY,69687.66,4032.0,3200,20.18,0.2
2024-11-01 00:00:00,002795.SZ,REBAL_BUY,69687.66,898.0,15300,4.49,0.2
2024-11-04 09:31:00,002222.SZ,BUY_ALLOC,66760.73,0.0,2100,30.27,0.190432
2024-11-04 09:35:00,000563.SZ,BUY_ALLOC,67060.98,0.0,100,3.91,0.001166
2024-11-04 00:00:00,000590.SZ,REBAL_SELL,67983.2,72096.0,500,7.5,0.2
2024-11-04 00:00:00,000563.SZ,REBAL_BUY,67983.2,437.0,15400,4.37,0.2
2024-11-05 09:37:00,603266.SH,BUY_ALLOC,68915.07,0.0,3400,19.87,0.196062
2024-11-05 00:00:00,000590.SZ,REBAL_SELL,69221.11,70525.0,100,7.74,0.2
2024-11-05 00:00:00,603266.SH,REBAL_SELL,69221.11,73610.0,200,21.63,0.2
2024-11-06 09:42:00,002919.SZ,BUY_ALLOC,71068.71,0.0,4600,15.37,0.198968
